date,open,high,low,close,volume
03/11/98,31.6445,32.2138,31.6445,31.9473,7900
04/11/98,32.2501,32.777,32.1714,32.1714,25200
05/11/98,31.3417,31.9473,31.1902,31.6808,14900
06/11/98,30.5483,31.0388,30.5483,30.8874,3900
09/11/98,30.1304,30.1304,29.6035,29.8276,12800
10/11/98,29.2219,29.2219,28.7677,29.0705,12400
11/11/98,29.7488,30.2455,29.6762,29.979,4500
12/11/98,29.0705,29.446,28.8828,29.1432,8000
13/11/98,30.0516,30.0516,29.6035,29.7125,7100
16/11/98,31.4931,31.9473,31.4567,31.4567,33900
17/11/98,31.7232,31.7232,31.2629,31.4931,4800
18/11/98,31.1902,31.1902,31.0025,31.0025,3100
19/11/98,30.736,31.1176,30.6573,31.1176,6100
20/11/98,31.7595,32.026,31.5657,31.5657,11000
23/11/98,31.6808,32.7043,31.6808,32.7043,30900
24/11/98,32.4015,32.7407,32.135,32.135,34700
25/11/98,31.7959,32.2501,31.7959,32.0987,2000
27/11/98,31.7232,32.2501,31.7232,31.7232,1900
30/11/98,31.1176,31.1176,30.5119,30.6573,13400
01/12/98,30.6573,31.0025,30.5846,30.9238,23500
02/12/98,30.5846,30.9238,30.5846,30.6573,3100
03/12/98,30.5846,30.9238,30.4332,30.5846,9500
04/12/98,30.5846,31.0388,30.5846,31.0388,15100
07/12/98,30.4695,30.4695,30.1304,30.2818,10900
08/12/98,31.0025,31.0752,30.8874,31.0752,3900
09/12/98,32.7043,32.777,32.1714,32.1714,30600
10/12/98,33.0072,33.2373,32.7043,32.7043,28500
11/12/98,31.4204,31.8686,31.4204,31.4204,5800
14/12/98,31.378,31.8686,31.378,31.4204,2300
15/12/98,30.8874,31.1902,30.6209,31.1176,7200
16/12/98,30.6573,30.9601,30.6209,30.6209,6400
17/12/98,30.736,31.2629,30.736,30.8874,4100
18/12/98,31.8686,31.8686,31.3417,31.6445,9400
21/12/98,31.3417,31.9473,31.3417,31.4931,23700
22/12/98,30.2091,30.4332,29.979,30.4332,12900
23/12/98,30.0516,30.5846,30.0516,30.5846,12300
24/12/98,30.2818,30.2818,29.9063,30.2091,1400
28/12/98,30.5846,31.0388,30.5846,31.0388,19000
29/12/98,32.4015,32.7043,32.1714,32.1714,41200
30/12/98,32.4742,32.6317,32.2501,32.4015,25100
31/12/98,32.6317,32.6317,32.2138,32.2138,20100
04/01/99,31.9473,32.0987,31.7595,32.026,19300
05/01/99,31.4204,31.8686,31.4204,31.7959,32000
06/01/99,31.6081,31.8322,31.1902,31.8322,62100
07/01/99,32.3288,32.3288,31.7959,31.7959,5600
08/01/99,31.1176,31.6081,30.8874,31.6081,41800
11/01/99,30.8874,31.0025,30.5846,30.5846,21700
12/01/99,30.094,30.1667,29.6762,30.0153,9900
13/01/99,28.9191,28.9978,27.8229,28.6526,53800
14/01/99,29.0342,29.1069,28.6163,28.6163,30100
15/01/99,28.9191,29.3733,28.7677,29.3733,12300
19/01/99,29.979,29.979,29.3733,29.6762,13600
20/01/99,30.2818,30.5846,30.2091,30.2091,23400
21/01/99,31.3417,31.4204,31.1902,31.1902,12000
22/01/99,29.8639,30.4332,29.8639,29.979,11100
25/01/99,29.979,30.1304,29.8276,29.9063,11000
26/01/99,30.6573,31.0388,30.5119,31.0388,11200
27/01/99,31.3417,31.6081,31.1902,31.1902,22900
28/01/99,30.5846,30.8874,30.5846,30.736,15700
29/01/99,31.6445,31.9473,31.5657,31.7959,16700
01/02/99,31.8686,31.8686,31.1902,31.3417,10700
02/02/99,31.7959,31.9473,31.6445,31.6445,7100
03/02/99,31.6263,31.9473,31.4931,31.4931,3200
04/02/99,31.4931,31.6445,31.1902,31.4931,10200
05/02/99,31.4931,31.9473,31.4204,31.6445,13200
08/02/99,32.0987,32.0987,31.6445,31.7959,9500
09/02/99,31.7959,31.7959,31.3417,31.5294,10100
10/02/99,31.4931,31.4931,31.0388,31.3417,6000
11/02/99,31.6445,31.6445,31.1902,31.378,2600
12/02/99,31.7959,32.0987,31.6445,31.7959,14700
16/02/99,31.2629,31.2629,30.8147,31.0388,17700
17/02/99,30.5846,30.736,30.3181,30.3181,10000
18/02/99,30.4332,30.4332,30.2818,30.4332,2200
19/02/99,30.4332,30.4332,30.0516,30.0516,7100
22/02/99,31.0388,31.0388,30.5846,30.8874,8900
23/02/99,30.5119,30.8147,30.3545,30.3545,113200
24/02/99,31.4931,31.5657,30.9601,31.1902,62800
25/02/99,30.8147,31.2629,30.736,31.1176,25800
26/02/99,31.0388,31.6445,31.0388,31.6445,4600
01/03/99,30.8147,31.1902,30.6573,31.1902,3700
02/03/99,30.1304,30.4332,30.1304,30.2818,3100
03/03/99,29.8276,29.8276,29.5247,29.7488,12200
04/03/99,29.6398,29.6398,29.3007,29.6398,2700
05/03/99,31.4204,31.6445,31.4204,31.4931,19600
08/03/99,31.7232,32.2501,31.7232,31.7232,21500
09/03/99,31.8686,32.3288,31.8686,32.3288,6800
10/03/99,32.4742,32.7043,32.4015,32.7043,23000
11/03/99,33.31,33.9156,33.0072,33.6128,36100
12/03/99,33.9156,33.9156,33.3826,33.3826,15600
15/03/99,34.5212,34.9755,34.3698,34.6363,93700
16/03/99,35.1269,35.1269,34.5212,34.5212,24700
17/03/99,35.2783,35.5811,35.1269,35.5811,42300
18/03/99,33.9156,34.5939,33.6128,34.5939,22300
19/03/99,34.9755,35.1269,34.5939,34.5939,25900
22/03/99,34.5576,34.5939,34.4486,34.5212,6900
23/03/99,33.7642,33.7642,32.8557,32.8557,20200
24/03/99,31.7232,32.2501,31.6445,32.0987,8900
25/03/99,32.4316,32.7353,31.824,32.5045,26700
26/03/99,33.6709,34.128,33.5185,33.8964,22900
29/03/99,33.6709,34.128,33.6709,34.128,2700
30/03/99,33.8964,34.0548,33.6709,34.0548,39600
31/03/99,34.8105,35.3468,34.8105,34.8898,17100
01/04/99,36.8704,37.3275,36.6023,36.6023,46900
05/04/99,37.1751,37.7114,37.1751,37.6322,26000
06/04/99,37.7845,38.394,37.7845,38.2416,23700
07/04/99,37.7845,37.9735,37.7845,37.9369,21300
08/04/99,38.1624,38.1624,38.1624,38.1624,5000
09/04/99,35.9563,36.1878,35.7247,36.0294,13800
12/04/99,34.6216,35.1945,34.5058,35.1579,33700
13/04/99,35.6515,35.9928,35.1152,35.8039,11400
14/04/99,37.2482,37.4798,37.0228,37.1751,20600
15/04/99,36.6023,36.6023,36.1878,36.1878,16800
16/04/99,37.0228,37.4433,37.0228,37.0228,6900
19/04/99,37.2909,38.2965,37.2909,37.6322,28400
20/04/99,38.1258,38.394,38.0893,38.2416,7000
21/04/99,36.0294,36.718,35.7247,36.718,26600
22/04/99,35.9563,36.261,35.9563,36.1878,10600
23/04/99,36.1878,36.1878,35.6515,35.6515,4700
26/04/99,35.6881,36.261,35.6881,36.261,7400
27/04/99,36.0294,36.6023,36.0294,36.6023,11700
28/04/99,35.9928,35.9928,35.42,35.8831,9100
29/04/99,35.42,35.6515,35.42,35.42,6800
30/04/99,35.0056,35.0421,34.585,34.8898,62700
03/05/99,34.8898,34.969,34.7374,34.969,9400
04/05/99,34.585,35.0056,34.3596,34.8898,9800
05/05/99,34.585,34.8898,34.585,34.8898,5200
06/05/99,35.7247,36.261,35.7247,36.1086,14300
07/05/99,35.5784,35.5784,35.1945,35.1945,19300
10/05/99,35.1945,35.1945,34.8898,34.969,5700
11/05/99,35.0421,35.0421,34.4327,34.7374,23700
12/05/99,35.0421,35.5784,35.0421,35.5784,8500
13/05/99,34.7374,34.7374,34.5058,34.585,10200
14/05/99,33.6709,33.8964,33.4454,33.4454,8400
17/05/99,32.9091,32.9091,32.2997,32.6775,18100
18/05/99,33.8233,33.8233,33.3296,33.7501,8200
19/05/99,32.3728,32.3728,31.9218,32.2997,19800
20/05/99,32.2997,32.6044,32.2997,32.6044,10600
21/05/99,32.7568,32.9823,32.7568,32.9091,7600
24/05/99,32.7568,32.9823,32.5313,32.836,12600
25/05/99,33.2138,33.6709,33.2138,33.4454,8000
26/05/99,33.1407,33.2138,32.9091,33.2138,4000
27/05/99,32.836,32.9823,32.6044,32.9823,6300
28/05/99,32.9457,33.3662,32.9091,32.9091,24200
01/06/99,33.8233,33.8964,33.3296,33.8964,7800
02/06/99,34.6826,34.969,34.3961,34.7374,6600
03/06/99,34.3961,34.7374,34.3961,34.7374,4900
04/06/99,34.585,34.585,34.2011,34.5058,4400
07/06/99,34.8105,35.4992,34.8105,35.4992,20800
08/06/99,35.9563,36.261,35.3468,35.8039,19000
09/06/99,36.6388,36.8704,36.5657,36.8704,10500
10/06/99,36.9862,37.4798,36.9862,37.3275,7200
11/06/99,37.5956,37.7114,37.5164,37.5164,30800
14/06/99,36.9435,37.2117,36.9435,36.9435,4000
15/06/99,37.3275,37.9369,37.3275,37.553,15700
16/06/99,37.7114,38.4671,37.7114,38.394,75700
